images,ENCODINGS
../test_images/Bahari_HARW-14-00280.R4/image28.jpg,"[ 0.00285236  0.01750616  0.01690444 -0.00534586  0.009432    0.00952623
  0.02122785 -0.00417721  0.01326089 -0.00128439  0.02611612 -0.04941921
 -0.0282474   0.04134686  0.01131495  0.05012717 -0.00504407  0.0095973
  0.04479494 -0.01241827  0.0263132   0.03516659 -0.00822179  0.01223129
 -0.0142383   0.03091026  0.00905014 -0.00248489 -0.0226078  -0.01469633
  0.0020022  -0.0356233  -0.03193581  0.00924431  0.01884772 -0.00206362
 -0.01597182 -0.00831376 -0.01617157  0.02428297 -0.00951984 -0.04523811
  0.00410167  0.01838261  0.0262589  -0.02104881 -0.00140707 -0.00093366
 -0.0081506   0.00794096 -0.0056693   0.04950666 -0.0301336   0.01198595
  0.04190143  0.0098      0.00281462  0.00156855  0.01674429  0.03003669
  0.05322131 -0.01758906  0.03489075  0.02943179  0.00909759  0.00413042
  0.00063997 -0.01936592  0.01415841  0.0450321  -0.03553765 -0.01634472
  0.02580742  0.00261546  0.00217478  0.01257321  0.01899566  0.00340836
 -0.03697902 -0.00828631  0.02723883 -0.0133529   0.04104559 -0.00147619
 -0.03375472  0.00625732 -0.02383364 -0.03006438 -0.00225599  0.01503113
 -0.00430098 -0.00376292 -0.00809252 -0.02728326 -0.006447   -0.01837551
  0.01556859 -0.0237893   0.00914999  0.02404027  0.02304978  0.00911832
  0.02367586  0.00813065 -0.00462827  0.04047684  0.04381368 -0.00229073
  0.03032593 -0.03537835  0.02833637  0.03204315  0.02028646  0.02179188
  0.00192907 -0.01022659 -0.00760149  0.00860582  0.02765128 -0.00217976
  0.01456432  0.02156851 -0.00264733  0.0121113  -0.01277468  0.01521001
  0.0130292   0.02659776]"
../test_images/Bahari_HARW-14-00280.R4/image52.jpg,"[-0.00457825  0.02250404 -0.03305423  0.00648919  0.0195969   0.02671484
  0.01448956 -0.01814642  0.00640329 -0.05183872 -0.00162742  0.00766286
 -0.01365597 -0.00961607  0.00722897 -0.02149351  0.00384611 -0.05943337
  0.05569267  0.00539964 -0.00658454  0.00243727 -0.01425404 -0.029992
 -0.00992272  0.00261112 -0.02243251 -0.01800524 -0.01304481  0.03127585
  0.01728282  0.04964763  0.0270232  -0.00653627 -0.02570894 -0.01631433
  0.00317028 -0.01226704  0.0232678   0.02406723 -0.018732    0.0335498
  0.00289613  0.0576525   0.00960698  0.02534293  0.01215073  0.00328178
 -0.00767158  0.02026442 -0.01330292  0.02025971  0.02520112  0.02025389
  0.00939834 -0.00148526  0.03285334  0.01955077 -0.0034461   0.02945616
 -0.04097374  0.00030137 -0.00564019  0.03081793 -0.01166035 -0.03055748
  0.00416581 -0.01825519 -0.00358455 -0.0027856  -0.00735208 -0.00042095
 -0.01838701  0.00503488  0.01073689 -0.01800959  0.00329704  0.02322871
 -0.00554134  0.01508848 -0.03402923 -0.00352749  0.01148929  0.00556092
 -0.02579035  0.00513835  0.01206282 -0.00464793 -0.01562573  0.00092215
 -0.00379781  0.01643922 -0.00122545  0.03152893 -0.0151262   0.01997643
 -0.00691059  0.01113749 -0.01946016  0.01071622 -0.00775004 -0.03318655
  0.02059377 -0.01632018  0.00688762  0.01644299 -0.03793585  0.01559621
 -0.00989162  0.01431724  0.00736535 -0.00465352  0.00078621  0.0297762
 -0.0186564  -0.00858346 -0.00806471 -0.02303988 -0.00950233  0.01042004
 -0.03968963 -0.00118761  0.01515279  0.0072675  -0.00035494  0.02379109
  0.02958584  0.01205859]"
../test_images/Bahari_HARW-14-00280.R4/image16.jpg,"[ -1.28083881e-02   1.10497298e-02   1.33591732e-02  -2.77133882e-02
  -4.74661868e-03   1.17651606e-02   8.11576657e-03   1.28167393e-02
  -1.09079834e-02   1.50620658e-02  -7.63508398e-03  -1.41914990e-02
  -4.03552502e-02   1.64617132e-02  -3.64268757e-02  -1.47577431e-02
   2.54204962e-04  -6.92024268e-03   1.81189217e-02   1.23524340e-02
   2.44361144e-02  -3.55335921e-02   1.29369479e-02   8.64535850e-03
  -6.53980449e-02  -1.56357642e-02  -5.74966241e-03  -3.44912633e-02
   1.22358389e-02   8.02631676e-03   2.24086009e-02  -9.10382438e-03
   1.05019584e-02  -8.57359543e-03   7.57322181e-03  -7.49799702e-03
   2.82709934e-02  -5.14213964e-02  -4.12254706e-02  -8.09335033e-04
   3.33614051e-02  -7.64197484e-03  -5.19086001e-03  -1.07197240e-02
   1.25687337e-02   1.12466561e-02  -1.23469718e-02   6.22913649e-04
   8.18043761e-03  -1.91543400e-02   3.32103334e-02  -5.55519387e-03
   1.22493031e-02   2.32260525e-02   2.59323679e-02  -7.52161350e-03
   2.46020108e-02   2.55223494e-02   9.45163704e-03   4.01357599e-02
   3.03040743e-02   1.36981485e-03   1.01506207e-02  -4.70864885e-02
  -2.02899557e-02  -2.73800921e-02  -2.92476062e-02   2.38890983e-02
   1.13099534e-02  -2.76323501e-02  -1.99638754e-02  -2.30066180e-02
  -4.33192169e-03  -3.99960903e-04   7.33522186e-03  -1.44408466e-02
  -1.14526236e-02   2.20076237e-02   2.90053454e-03  -2.02666260e-02
   2.40593757e-02   3.09768282e-02  -3.62090729e-02  -2.62209470e-03
  -4.41920981e-02  -1.03578176e-02   1.71967186e-02  -2.63795182e-02
   1.75856501e-02  -4.34152270e-03  -1.61357466e-02  -1.52875315e-02
   3.41710541e-03   4.93729748e-02  -2.88568698e-02   1.93004590e-02
  -6.69372268e-03  -2.11406741e-02   1.02759739e-02  -2.75349058e-02
   2.63522696e-02  -2.78827287e-02   2.58355308e-02  -1.95409786e-02
  -4.33251075e-02  -1.51091404e-02   6.85122237e-03   1.05325729e-02
   7.85143673e-03   1.99060217e-02   2.20052171e-02   1.18416594e-02
  -2.00149720e-03   3.23493890e-02   4.74035405e-02  -1.10840257e-02
   3.40450834e-03  -3.68317124e-05   3.63087393e-02  -3.40295434e-02
   3.65515728e-03  -5.14908135e-03   2.37177685e-03  -4.51874174e-03
  -2.27202587e-02   3.77723500e-02   2.90345065e-02   7.06000775e-02]"
../test_images/Bahari_HARW-14-00280.R4/image4.jpg,"[ -3.03538758e-02   1.18271550e-02   3.40792525e-04   9.85495374e-03
   2.80298479e-02   3.35647427e-02  -5.65408869e-03   1.70206148e-02
  -2.43225228e-02  -6.06517233e-02   2.59494651e-02   2.69341953e-02
   2.57170610e-02  -1.52739864e-02  -2.07593739e-02  -8.95429682e-03
   9.64005571e-03  -3.10892835e-02   1.16906594e-02   1.95897557e-02
  -1.02600437e-02   7.76042650e-03  -1.09213227e-02   2.41608429e-03
   1.11613264e-02  -7.59173604e-03  -5.52478805e-03  -8.10514111e-03
  -8.98310822e-03  -3.25920209e-02  -4.24846634e-02  -2.49790237e-03
   3.15820500e-02  -1.72762992e-03  -1.51131684e-02  -1.07343039e-02
   3.75756621e-02   3.84446681e-02   1.08279977e-02   1.25976335e-02
  -2.42794654e-03   1.08456220e-02  -1.62886437e-02   1.04746409e-02
  -9.84865800e-03  -2.33119689e-02  -7.85485655e-03  -1.49450274e-02
   1.98605563e-02  -1.02344006e-02   3.17217503e-03  -4.32651080e-02
  -4.61386377e-03   9.89677478e-03  -3.53513611e-03  -3.29067558e-02
   1.99473486e-03   1.35956593e-02  -1.54628074e-02  -6.39966177e-03
   3.21605317e-02  -1.73919462e-02   1.04685267e-02  -1.36517109e-02
   2.15817690e-02  -9.26716253e-03  -3.70461568e-02  -7.35795218e-03
   7.27855973e-03   2.66064517e-02   3.20644937e-02  -1.52781454e-03
  -1.94843335e-03   2.05922555e-02   2.36782655e-02   8.02520197e-03
   1.46887125e-02   7.75004301e-05   7.05752196e-03  -1.04396027e-02
   1.03079919e-02  -1.89220048e-02   1.27143767e-02  -6.80131256e-04
  -9.59522743e-03   9.78564937e-03   2.81178020e-02  -7.01944083e-02
  -8.00867099e-03  -9.86341015e-03  -7.45322462e-03   2.57734116e-02
   1.25398766e-02  -2.34145066e-03   7.25357980e-03  -5.42541640e-03
   1.41686574e-02   9.72395483e-03   2.97557954e-02   1.13117034e-02
  -3.66180912e-02   2.20508501e-02  -3.80079783e-02   1.95111018e-02
  -1.27991214e-02  -1.36466129e-02  -3.07817198e-02  -6.24870369e-03
  -1.40806437e-02  -2.43711770e-02  -3.99653101e-03  -5.79297030e-03
  -2.41105855e-02  -2.71698628e-02   2.53832210e-02  -1.35322763e-02
   3.23091255e-04  -3.42364088e-02  -1.60838366e-02   2.31179362e-03
   1.44456252e-02  -7.21823843e-03   2.26355949e-03  -5.82924532e-03
   2.13655662e-02  -1.81270652e-02   3.87002574e-03  -1.78783704e-02]"
../test_images/Bahari_HARW-14-00280.R4/image55.jpg,"[-0.01154636  0.04111212 -0.02486378 -0.02043887  0.02118579  0.00386042
 -0.01430541 -0.00637784  0.02097759  0.00818408  0.05841021 -0.02300546
  0.00595597 -0.03541735  0.02719405 -0.00198834  0.00759623  0.0451468
 -0.04341523  0.01385406 -0.02248095  0.01405161 -0.01115258 -0.01948435
  0.0188087  -0.0109567   0.00646885  0.00364162  0.00630804 -0.01364749
 -0.00062706 -0.00569499  0.02508742 -0.01065269 -0.02501962 -0.01839242
 -0.01964469  0.01519988 -0.02152803 -0.02842439 -0.02281806 -0.00078012
 -0.00604475  0.01011457  0.02057726  0.02719524 -0.00579293  0.02375076
 -0.01636413 -0.01764679  0.00456705 -0.01600062  0.02143459  0.03685782
 -0.00774835 -0.00725195  0.00231497  0.01833005  0.02428029  0.06368869
  0.03547057 -0.01137627 -0.01211821 -0.01937027  0.01508974  0.0186813
 -0.00056657  0.01409593  0.05053724  0.01117803  0.03082006  0.0167372
  0.02134379  0.01750015  0.01431417 -0.00285452  0.02615111 -0.01112575
 -0.00647851 -0.02383247  0.00862211 -0.00079839 -0.04067676  0.01060066
  0.01523055 -0.00312079 -0.01734281  0.01955201 -0.00303213 -0.01409139
 -0.00946825  0.02834843  0.01082026 -0.02226991 -0.00873063 -0.04361499
 -0.01018191 -0.02791801 -0.01227613 -0.0087912   0.00969135 -0.01237931
 -0.01682131 -0.01793232 -0.02684032 -0.01711815  0.01406696  0.00487886
 -0.00704217 -0.01553978  0.00030543  0.0136932  -0.02049484 -0.00970734
  0.04648196  0.00722921 -0.01182736  0.00982088  0.00909638 -0.00226081
 -0.00461597 -0.00404208  0.01985434  0.00964687 -0.01322717  0.01026236
  0.02571019 -0.01784255]"
../test_images/Bahari_HARW-14-00280.R4/image35.jpg,"[-0.00357945 -0.02714876  0.02662789 -0.02306926  0.00182283 -0.04575039
 -0.01526629 -0.02335232 -0.0117469   0.00409542  0.00826501 -0.01378381
  0.00367838  0.01781144 -0.02833436 -0.0103977   0.03408131  0.02215256
 -0.03597854  0.01938287  0.00482    -0.04944772  0.0078841  -0.01757961
  0.01559049  0.05158872 -0.01352272  0.01712852 -0.03250749 -0.01008603
 -0.01499475  0.00978144 -0.01093486 -0.01702232  0.00998081 -0.00728499
 -0.01814533  0.02403606  0.03456333  0.00846878  0.03622764  0.02757858
  0.00617876 -0.01913484 -0.00596313 -0.0045585   0.02090495  0.0009026
 -0.0134465   0.00608341  0.00861595 -0.0202673  -0.00476398 -0.00364038
  0.03015964  0.02730646 -0.02251121 -0.01817171  0.01259173  0.00320898
  0.03392488 -0.01109823 -0.0105771   0.01182315 -0.03284475  0.04468736
  0.01073701 -0.00306769 -0.00670931  0.01814203  0.01029596  0.01022742
  0.04687214  0.03046813  0.00980439  0.01316803  0.02974277 -0.01805997
 -0.01747164 -0.04343234 -0.00583297 -0.02118073  0.00656826 -0.00010923
  0.00182061 -0.01451986 -0.00531155  0.02678172  0.01104539  0.01151257
  0.00592472  0.02976937  0.01416684  0.04119512 -0.02666082  0.02922968
 -0.03685782  0.01959362 -0.0412265  -0.00266304  0.0334111  -0.03025367
 -0.00826572  0.04640225  0.02622783  0.00581286  0.00978623  0.01703022
 -0.00890432  0.01581716 -0.00332523 -0.00446546 -0.00577145 -0.01213394
  0.00881543 -0.0436696   0.04044571 -0.0151695  -0.00554219 -0.03290869
  0.00145548  0.01065256  0.02582362 -0.03469199  0.00195684 -0.00209325
  0.02877237 -0.01009834]"
../test_images/Bahari_HARW-14-00280.R4/image49.jpg,"[  1.36290602e-02   5.03258780e-02  -2.09044833e-02   2.34269537e-03
   2.26966348e-02  -1.97546184e-02  -3.83758289e-03   1.48890521e-02
   5.59696965e-02   1.41809788e-03  -1.55385351e-02  -1.43039096e-02
  -3.60325724e-02   1.12651670e-02   2.79593989e-02  -2.67065614e-02
   3.18803936e-02   1.98218562e-02   3.69416475e-02  -2.47176178e-02
   2.14264467e-02   8.49378109e-03  -3.23524997e-02   1.45559134e-02
   3.54106091e-02   1.00785978e-02   1.79392956e-02   2.13363655e-02
  -1.02443132e-03  -1.80702396e-02  -2.62688510e-02   2.14179773e-02
   4.77390829e-04   2.90598497e-02  -4.45052376e-03   1.49862387e-03
  -5.85704716e-03  -3.09844967e-03   2.26067845e-03   2.20401734e-02
   3.84154841e-02  -1.52909989e-02  -9.10630077e-03  -2.46059243e-02
  -6.00666739e-03  -6.19408209e-03  -7.99059495e-03  -2.06064321e-02
  -1.05269076e-02   1.59189273e-02   5.28606237e-04   7.01699173e-03
   2.46406719e-02   1.40320156e-02  -2.05525011e-02  -3.35509889e-03
  -4.71747341e-03   4.46327263e-03  -1.01120083e-03   2.44423412e-02
  -5.17747514e-02  -5.93421003e-03  -8.99361819e-03  -9.83233005e-03
   2.19466910e-02  -1.98177043e-02   7.24332500e-03  -1.22750336e-02
  -1.37647791e-02   3.34138758e-02  -9.20193363e-03   2.98260804e-02
   8.62975977e-03   4.13307510e-02  -3.35431546e-02   2.04293930e-04
  -3.12146805e-02  -3.62223350e-02   3.08935228e-03  -3.53770629e-02
   3.55501426e-03  -3.04177180e-02  -1.28885256e-02   3.20385136e-02
  -2.92872228e-02   2.76365597e-03  -2.10626959e-03  -3.64210978e-02
   2.78879683e-02  -6.92156330e-03   2.09232476e-02   5.69846015e-03
  -9.82520077e-03   1.78705472e-02   4.22206484e-02  -1.57082342e-02
  -9.03255586e-03  -2.13393383e-03  -3.15896086e-02   4.86776158e-02
   2.19757538e-02  -1.05672767e-02   2.22762879e-02   2.33842414e-02
   2.05053650e-02  -1.53414384e-02   1.80151053e-02   4.55896370e-05
   1.93626918e-02  -2.48137228e-02  -3.80866528e-02   2.28523947e-02
   3.93535234e-02   2.73431726e-02   4.11467534e-03   1.00788381e-02
  -3.33827548e-02  -2.93781236e-03  -2.23319400e-02   1.36412270e-02
  -2.41325814e-02   5.26625961e-02  -1.47516532e-02  -1.83389522e-03
  -1.48425205e-02   9.86142643e-03   2.16746759e-02   5.66779217e-03]"
../test_images/Bahari_HARW-14-00280.R4/image7.jpg,"[  2.13334654e-02  -1.08229443e-02   1.57895442e-02  -1.75690688e-02
  -3.53154875e-02   8.61042272e-03   7.46782403e-03   1.05074549e-03
   7.52002606e-03   3.18293972e-03  -8.10371060e-03  -1.99845862e-02
   8.83981027e-03  -1.56951081e-02  -2.70043816e-02   1.66272279e-04
  -1.44743090e-02  -4.42797597e-03  -2.67758835e-02   2.22067572e-02
  -1.11756334e-02  -9.43118334e-03   1.78755838e-02   5.88535750e-03
   2.90352684e-02  -5.58811463e-02   3.40232179e-02   1.38937756e-02
   1.12522012e-02   2.77639534e-02  -2.87699746e-03  -1.10869287e-02
   1.39692426e-02  -2.66862893e-03  -3.54188308e-03  -1.36017017e-02
  -6.27782242e-03   1.18302880e-03   3.19583416e-02   1.63388513e-02
  -1.38696516e-02  -7.84376543e-03   1.60867181e-02   7.51077081e-04
   2.32870989e-02   2.87122782e-02   1.45393349e-02   2.72727478e-03
  -1.92113500e-02   4.07816563e-03  -1.74141675e-02  -2.68146954e-02
   1.71332154e-02  -3.90596129e-02  -1.21043588e-03  -3.52283847e-03
   2.49518119e-02  -1.76280122e-02   1.30627891e-02   2.37661023e-02
   3.51238181e-03   2.26991884e-02  -7.23223714e-03   2.99722999e-02
   3.70328105e-03  -2.62068510e-02  -1.23527432e-02  -1.23653784e-02
   1.94019713e-02  -1.73584223e-02  -1.38517199e-02  -7.02696200e-03
   1.73903238e-02  -2.62894388e-03   1.97134558e-02  -1.94671173e-02
   8.02886393e-03  -1.71175860e-02  -1.27057666e-02  -2.79352274e-02
   3.95866781e-02  -1.41886696e-02  -3.86762731e-02  -1.59319621e-02
  -8.26094300e-03  -2.52378862e-02  -1.54495928e-02  -1.97590608e-02
   6.51676860e-03   3.18363449e-03  -2.45989505e-02   1.96802579e-02
  -1.95217524e-02  -5.93987713e-03  -5.11561334e-03  -5.35031110e-02
  -5.86428083e-02  -3.86365466e-02  -2.83074714e-02   3.34715769e-02
   9.25149396e-03  -1.47394417e-02  -1.18021630e-02  -9.94239096e-03
  -2.69356556e-02  -2.35417876e-02  -2.74209306e-03   5.04495902e-03
  -1.53961848e-03   6.65645162e-03   2.80461786e-03  -2.09183004e-02
   1.42202247e-02   1.17308320e-02  -1.23979477e-02   4.20523249e-03
   9.02464893e-03  -7.53197167e-03   3.08102026e-05  -1.44027295e-02
  -2.87725255e-02   3.06181684e-02   8.83277506e-03   1.59059018e-02
  -9.57564451e-03   5.00885583e-02   2.03437004e-02   1.79477257e-03]"
../test_images/Bahari_HARW-14-00280.R4/image15.jpg,"[ -3.26827844e-03   6.30119909e-03   3.44324708e-02  -1.47638842e-02
   1.56605374e-02  -2.46313028e-02   7.20549189e-03  -1.68807190e-02
  -1.11153834e-02   3.02095022e-02  -1.49898594e-02  -1.82929551e-04
  -8.55338573e-03  -2.90286401e-03  -1.44867375e-02  -2.31295358e-02
   2.88466737e-02  -2.12833825e-02   3.94523107e-02  -1.67051353e-03
   1.56285297e-02  -1.20974723e-02  -1.27592124e-03  -8.64033774e-03
  -3.27044986e-02  -1.69659592e-02  -1.91748403e-02  -3.25692296e-02
   2.01382097e-02   3.12430356e-02   2.05127560e-02   6.90841163e-03
   1.88038684e-03   1.90895963e-02  -5.23761380e-03   5.99740492e-03
   3.35080251e-02  -1.01178354e-02   4.41058800e-02  -2.29456313e-02
   2.11636489e-03  -4.28461321e-02   9.87670105e-03   1.55923041e-02
  -2.28965422e-03   1.46927163e-02  -4.75701019e-02   5.13788371e-04
  -1.13437593e-03   9.30668693e-03   3.86590837e-05  -3.17938887e-02
   3.95197570e-02   8.87774117e-03   5.34891617e-03   5.48502728e-02
   1.34278657e-02   1.92392003e-02   9.37488023e-03  -5.17009757e-03
   2.30569523e-02  -1.15897302e-02   3.50181088e-02  -2.42529847e-02
   4.01585642e-03   2.15410665e-02   2.38735955e-02  -1.16011724e-02
   2.36756485e-02  -1.38602769e-02   6.45366088e-02  -2.52456982e-02
  -9.30265151e-03   1.62261296e-02  -1.94946993e-02   3.29500786e-03
  -2.03911960e-02   2.87264679e-02   1.18951974e-02   1.07408538e-02
  -2.36864784e-03  -5.07141184e-03   6.83794869e-03  -1.56249404e-02
  -1.95952449e-02   1.41448597e-03   1.13731138e-02  -3.08141951e-03
  -4.90951864e-03  -1.32554471e-02   1.34881251e-02   9.01223905e-03
  -3.59308533e-02   4.24605273e-02  -1.52409067e-02  -1.83620825e-02
   4.99625690e-03   3.70682143e-02   2.07464527e-02  -3.83643024e-02
   1.77496746e-02   1.04806023e-02   1.34534296e-02  -1.91432424e-03
   1.87267065e-02  -8.94780923e-03  -2.27849409e-02   8.45457613e-03
  -1.69011615e-02   6.62135612e-03  -2.30317451e-02   1.75072197e-02
  -2.27036304e-03   2.79319417e-02   2.91570164e-02  -2.43244711e-02
  -1.02511561e-02  -1.65539794e-02   1.26230298e-02  -2.05873419e-02
   2.28210203e-02   3.16638574e-02   6.48241770e-03   6.55484153e-03
  -3.46335098e-02  -4.19583078e-03   2.00032745e-03  -2.02333070e-02]"
../test_images/Bahari_HARW-14-00280.R4/image51.jpg,"[ -1.24896149e-04   1.02042407e-02   8.40556866e-04  -3.59671935e-02
  -3.93433571e-02   3.48550528e-02   2.71434635e-02   4.40440327e-03
   6.18741959e-02   3.79727827e-03  -1.83213446e-02  -1.41102253e-02
   1.30788079e-02   1.76153786e-04   1.66120343e-02   1.60060488e-02
   3.83367296e-03   5.20029999e-02   9.09552071e-03   5.17568411e-03
   4.76900563e-02   1.87502969e-02  -2.42678020e-02   3.95167060e-02
  -1.24775674e-02  -4.42058109e-02  -3.63778509e-02   6.09976659e-03
  -2.12146789e-02   3.22781987e-02   5.61949518e-03   2.52712648e-02
  -4.08854242e-03  -4.01810370e-02   1.01892534e-03  -1.24425981e-02
  -7.82131497e-03  -3.64582203e-02  -1.68009102e-02  -1.99052896e-02
   2.47062016e-02   6.97028916e-03  -7.51062110e-03  -3.15528996e-02
   2.57913023e-03   8.52893014e-03  -3.16244140e-02  -4.15171869e-02
   3.50712352e-02   2.05496624e-02   2.93671098e-02   4.45439573e-03
   7.14629423e-03   3.42864543e-03  -2.72053219e-02   8.03590100e-03
  -3.86066921e-03  -1.31323086e-02   2.02693846e-02  -1.73271971e-03
   4.75652562e-03   2.91169286e-02   2.86382064e-03  -2.17977837e-02
   6.17546728e-03   1.95883540e-03  -5.40012978e-02   1.20685471e-03
  -3.69062871e-02   1.87967420e-02  -1.97519287e-02  -4.41164151e-03
  -2.89233122e-02   4.35814634e-03  -6.68887375e-03  -9.60406009e-03
  -1.23920292e-02   2.04452593e-02   4.02233303e-02   8.74023302e-04
   1.68020558e-02   5.43566002e-03   1.69694703e-03  -1.64938178e-02
  -9.16049909e-03  -4.69412841e-02   9.88550391e-03  -3.53061482e-02
  -3.82939028e-03   1.92669369e-02  -7.78602250e-03  -2.00594496e-02
   4.50892095e-03   1.23647312e-02  -2.07134318e-02  -3.53529071e-03
   9.10781417e-03  -7.23735755e-03  -3.25923264e-02   1.07468404e-02
   2.35624276e-02   4.40484881e-02   1.75297130e-02  -5.28138727e-02
   1.76429469e-02  -5.87078091e-03  -1.63678527e-02  -3.32809985e-02
  -1.19313719e-02   1.59585569e-03   5.14970673e-03   4.20581456e-03
  -3.26867364e-02  -2.92365626e-02   5.87953068e-03   6.94634113e-03
  -5.02074091e-03  -1.51476525e-02   1.64122395e-02   2.00483995e-03
  -4.85344674e-04  -3.21519049e-03   6.55122567e-05   1.02084884e-02
  -5.00073144e-03  -1.42538389e-02   8.25599357e-02  -6.54678140e-03]"
